K,Inertia,Silhouette
2,555435.8680864916,0.33930978706055237
3,437590.3599612376,0.2742168587311044
4,385142.93846543157,0.24338688608759104
5,343682.1523964143,0.22671285867504176
6,325387.72250628937,0.19769081635036329
7,307950.8815907783,0.18276332807683693
8,295730.4128769669,0.16378262130674578
9,284651.161015006,0.16279454471416346
10,275408.1465849126,0.16597536469244548
